isin,kind
AU00000YMAX5,etf
AU00000ZYAU3,etf
AU00000ZYUS5,etf
AU0000102667,etf
AU0000102675,etf
AU0000102683,etf
AU0000103012,etf
AU0000103533,etf
AU0000106049,etf
AU0000108771,closedend
AU0000110827,closedend
AU0000111981,etf
AU0000121287,etf
AU0000133324,etf
AU0000134876,etf
AU0000135543,etf
AU0000137788,etf
AU0000137796,etf
AU0000137804,etf
AU0000150880,etf
AU0000153678,etf
AU0000155707,closedend
AU0000163230,etf
AU0000169120,etf
AU0000169229,etf
AU0000170201,etf
AU0000171969,etf
AU0000175424,closedend
AU0000186165,closedend
AU0000187452,etf
AU0000187759,etf
AU0000187767,etf
AU0000187809,etf
AU0000192668,etf
AU0000202756,etf
AU0000204737,etf
AU0000207904,etf
AU0000220139,etf
AU0000220204,etf
AU0000221384,etf
AU0000227589,etf
AU0000227696,etf
AU0000227712,etf
AU0000233264,etf
AU0000233397,etf
AU0000233702,etf
AU0000233710,etf
AU0000233744,etf
AU0000236804,etf
AU0000237406,etf
AU0000238560,etf
AU0000240558,etf
AU0000242273,etf
AU0000242430,etf
AU0000242596,etf
AU0000247777,etf
AU0000249088,etf
AU0000249336,etf
AU0000251852,etf
AU0000251860,etf
AU0000251878,etf
AU0000251886,etf
AU0000253510,closedend
AU0000254278,etf
AU0000264269,etf
AU0000264533,etf
AU0000267791,etf
AU0000268849,etf
AU0000269854,etf
AU0000269961,etf
AU0000269987,etf
AU0000269995,etf
AU0000271710,etf
AU0000271728,etf
AU0000271736,etf
AU0000272619,etf
AU0000272825,etf
AU0000273229,etf
AU0000274318,etf
AU0000275091,etf
AU0000278400,etf
AU0000286684,etf
AU0000292823,etf
AU0000292831,etf
AU0000292849,etf
AU0000292930,etf
AU0000293300,etf
AU0000295180,etf
AU0000295198,etf
AU0000295206,etf
AU0000297400,etf
AU0000297418,etf
AU0000297426,etf
AU0000300840,etf
AU0000301343,etf
AU0000301756,etf
AU0000302606,etf
AU0000302838,etf
AU0000302846,etf
AU0000302853,etf
AU0000302960,etf
AU0000307944,etf
AU0000307951,etf
AU0000307969,etf
AU0000307977,etf
AU0000317414,etf
AU0000324113,etf
AU0000324295,etf
AU0000324428,etf
AU0000326472,etf
AU0000326480,etf
AU0000327108,etf
AU0000327116,etf
AU0000327132,etf
AU0000327900,etf
AU0000328262,etf
AU0000330482,etf
AU0000333247,etf
AU0000333882,etf
AU0000333890,etf
AU0000333908,etf
AU0000333916,etf
AU0000334385,etf
AU0000334450,etf
AU0000334476,etf
AU0000334666,etf
AU0000335416,etf
AU0000335424,etf
AU0000335879,etf
AU0000336505,etf
AU0000336950,etf
AU0000340655,etf
AU0000340952,etf
AU0000341117,etf
AU0000347932,etf
AU0000348955,etf
AU0000349730,etf
AU0000350209,etf
