isin,kind
CH1148308732,corporate
CH1148308740,corporate
CH1148728111,corporate
CH1148728129,corporate
CH1151526204,corporate
CH1154887116,corporate
CH1154887132,corporate
CH1159841332,corporate
CH1159841340,corporate
CH1160382979,corporate
CH1168499775,corporate
CH1170565753,corporate
CH1170565761,corporate
CH1174335740,corporate
CH1177791840,government
CH1179534933,corporate
CH1179534941,corporate
CH1189218006,corporate
CH1191066187,corporate
CH1194000316,corporate
CH1194000357,corporate
CH1194355066,corporate
CH1196217009,corporate
CH1204259779,corporate
CH1206367430,corporate
CH1206367463,corporate
CH1210198136,corporate
CH1210198144,corporate
CH1211713172,government
CH1211713198,corporate
CH1211713230,corporate
CH1212189158,corporate
CH1214797172,corporate
CH1214797206,corporate
CH1218301971,corporate
CH1223665063,corporate
CH1224575899,corporate
CH1224630231,corporate
CH1226543879,corporate
CH1228837907,corporate
CH1231312682,government
CH1231312690,corporate
CH1236363391,corporate
CH1239464709,corporate
CH1242969199,corporate
CH1248666930,corporate
CH1249416087,corporate
CH1253456102,corporate
CH1255915006,corporate
CH1255915014,corporate
CH1255924453,corporate
CH1264414348,corporate
CH1266847149,corporate
CH1267329279,corporate
CH1268922171,corporate
CH1271360583,government
CH1274703144,corporate
CH1277028440,corporate
CH1277582016,corporate
CH1280994281,corporate
CH1280994307,corporate
CH1290222335,corporate
CH1290222467,corporate
CH1290222566,corporate
CH1290870893,corporate
CH1290870901,corporate
CH1290870950,corporate
CH1290871040,corporate
CH1290975528,corporate
CH1291809908,corporate
CH1291809916,corporate
CH1292012775,corporate
CH1293238015,corporate
CH1298957064,corporate
CH1300224875,corporate
CH1300224883,corporate
CH1300277824,corporate
CH1300277865,corporate
CH1300950008,corporate
CH1300950032,corporate
CH1305916731,corporate
CH1305916889,corporate
CH1305916897,corporate
CH1314941381,corporate
CH1314941399,corporate
CH1314941423,corporate
CH1314941431,corporate
CH1314941456,corporate
CH1319968579,corporate
CH1319968595,corporate
CH1321481488,corporate
CH1321481496,corporate
CH1321481546,corporate
CH1321508355,corporate
CH1321737780,corporate
CH1322499612,corporate
CH1323274055,corporate
CH1325807860,corporate
CH1331113469,corporate
CH1331113477,corporate
CH1331113535,corporate
CH1344316745,corporate
CH1344316778,corporate
CH1346742864,corporate
CH1346742930,corporate
CH1346742948,corporate
CH1346743078,corporate
CH1348614061,corporate
CH1350727801,corporate
CH1356570338,corporate
CH1357852677,corporate
CH1357852685,corporate
CH1357852735,corporate
CH1357852784,corporate
CH1361401867,corporate
CH1361401875,corporate
CH1361401883,corporate
CH1361401891,corporate
CH1373904411,corporate
CH1373904510,corporate
CH1373904544,corporate
CH1376931536,corporate
CH1376931544,corporate
CH1376931569,corporate
CH1376931577,corporate
CH1376931585,corporate
CH1377955617,corporate
CH1380011291,corporate
CH1380011309,corporate
CH1380011317,corporate
CH1392903592,corporate
CH1396329752,corporate
CH1396329786,corporate
CH1400000019,corporate
CH1400000035,corporate
CH1400064528,corporate
CH1400064551,government
CH1400064569,corporate
CH1400064601,corporate
CH1405471975,corporate
CH1405472015,corporate
CH1405472023,corporate
CH1412302916,corporate
CH1414003520,government
CH1415780134,corporate
CH1415780159,government
CH1416172349,corporate
CH1416797517,corporate
CH1418473448,government
CH1423036768,corporate
CH1423036776,corporate
CH1423036842,corporate
CH1423036867,corporate
CH1423036875,corporate
CH1423036891,corporate
CH1423931646,corporate
CH1423931653,corporate
CH1426717240,corporate
CH1427866657,government
CH1428648294,corporate
CH1428855923,corporate
CH1428867092,corporate
CH1433241168,corporate
CH1433241184,corporate
CH1435012104,corporate
CH1446452299,corporate
CH1446452307,corporate
CH1446452356,corporate
CH1449583736,corporate
CH1449583744,corporate
CH1449583785,corporate
CH1450810218,corporate
CH1454185773,corporate
CH1454185781,corporate
CH1454185807,government
CH1455989991,corporate
CH1455990015,corporate
CH1455990098,corporate
CH1455990106,corporate
CH1457716475,corporate
CH1457738016,corporate
CH1461438173,government
CH1471403761,corporate
